Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
-0.128,Tue Jul 31 00:00:01 +0000 2018,0.819,0.105,0.076,"Lawmakers want answers about controversial TSA program ""Quiet Skies"" that tracked airline passengers, including manâ€_ https://t.co/P16kKKElF4",0,@CBSNews
0,Mon Jul 30 23:39:31 +0000 2018,1,0,0,Claims in NFL concussion settlement hit $500 million in less than 2 years https://t.co/AH9sVuVV1M https://t.co/9jug8aQ6Gi,1,@CBSNews
0.5574,Mon Jul 30 23:19:38 +0000 2018,0.813,0,0.187,"The Red Cross offers Amazon gift cards to those who donate blood in the next 30 days, after the nonprofit announcedâ€_ https://t.co/NxdFsoTJuT",2,@CBSNews
0.2263,Mon Jul 30 22:59:40 +0000 2018,0.909,0,0.091,Some states areÂ rushing to sue the federalÂ government over its decision toÂ allow a Texas company to publishÂ bluepriâ€_ https://t.co/9VHojiEztb,3,@CBSNews
-0.6908,Mon Jul 30 22:55:58 +0000 2018,0.737,0.263,0,"FEMA personnel chief Corey Coleman is accused of widespread sexual harassment at the agency.@jeffpeguescbs has thâ€_ https://t.co/MYby5N0HME",4,@CBSNews
0,Mon Jul 30 22:50:55 +0000 2018,1,0,0,"RT @CBSEveningNews: CBS board of directors announced plans to investigate CBS CEO Les Moonves.Moonves remains in place pending investigatâ€_",5,@CBSNews
-0.2023,Mon Jul 30 22:50:40 +0000 2018,0.913,0.087,0,"More than 1,300 firefighters rotate on 24-hour shifts to battle the California fires, but they often have to fightâ€_ https://t.co/mJ9Tq2VpiQ",6,@CBSNews
-0.6597,Mon Jul 30 22:43:48 +0000 2018,0.677,0.248,0.074,"â€œGrandpa, please,Â you got to come and get us.Â The fire is at the back doorâ€ù: Man recounts the tragic loss of his wiâ€_ https://t.co/V42UsT5bE1",7,@CBSNews
-0.34,Mon Jul 30 22:39:47 +0000 2018,0.902,0.098,0,"@jeffglor is on the scene in Redding, California, the location of the Carr Fire, one of 17 blazes in the state, thaâ€_ https://t.co/YpHOoUqIQv",8,@CBSNews
0,Mon Jul 30 22:29:34 +0000 2018,1,0,0,"FEMA official being investigated for sexual misconduct, after allegedly hiring women, and transferring some into deâ€_ https://t.co/omLQkueRg7",9,@CBSNews
0,Mon Jul 30 22:14:49 +0000 2018,1,0,0,"School district to get rid of snow days, have students work from home instead https://t.co/wDaaC9To1v https://t.co/ctQnyyojCV",10,@CBSNews
0,Mon Jul 30 22:14:21 +0000 2018,1,0,0,"@Elaine_Quijano: What did Rudy Giuliani tell you about a potential Trump-Mueller interview?@MajorCBS: That itâ€™s sâ€_ https://t.co/RhT4LFPQht",11,@CBSNews
0.4588,Mon Jul 30 22:00:33 +0000 2018,0.842,0,0.158,"America's favorite bromance continues: Barack Obama and Joe Biden spotted together at Washington, D.C. bakery thatâ€_ https://t.co/bcdzBZfUV3",12,@CBSNews
0.6705,Mon Jul 30 21:44:31 +0000 2018,0.686,0,0.314,"Attorney General Jeff Sessions announces the creation of a ""religious liberty task force"" https://t.co/zGaIt5OpsP https://t.co/kvgrcd5u3x",13,@CBSNews
0.5719,Mon Jul 30 21:30:00 +0000 2018,0.812,0,0.188,A girls video game camp in the Playstation headquarters aims to inspire the next generation of designersâ€_ https://t.co/hfAWqMlRd8,14,@CBSNews
-0.3182,Mon Jul 30 21:09:55 +0000 2018,0.901,0.099,0,"Canada Dry is being sued over the lack of ginger in their ginger ale, after a woman alleges she drank the beverageâ€_ https://t.co/l5wiGF4A3l",15,@CBSNews
0,Mon Jul 30 20:49:54 +0000 2018,1,0,0,"Bridesmaid begs JetBlue for refund of cross-country flight after bride asks her ""to relinquish"" her role in the wedâ€_ https://t.co/oSudVe1SA6",16,@CBSNews
0.1655,Mon Jul 30 20:34:43 +0000 2018,0.93,0,0.07,"""This is a huge moment, not only in my life, my family's life, and my foundation, but for these kids and the wholeâ€_ https://t.co/CbanGUvnCE",17,@CBSNews
0,Mon Jul 30 20:28:57 +0000 2018,1,0,0,"""Homeless, hungry 4 success"": Man holds unusual sign and hands out resumes by the side of the road. A passerby's soâ€_ https://t.co/OiBuzM3Ftz",18,@CBSNews
0.34,Mon Jul 30 20:05:13 +0000 2018,0.739,0.1,0.161,"WATCH: Desperate man goes from ""Homeless, hungry 4 success"" to receiving hundreds of job offers after a photo of hiâ€_ https://t.co/4Y1fwamxdv",19,@CBSNews
